,vids,labels
0,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_136.mp4,0
1,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_137.mp4,0
2,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_138.mp4,0
3,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_138.mp4,0
4,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_139.mp4,0
5,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_140.mp4,0
6,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_141.mp4,0
7,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_142.mp4,0
8,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_143.mp4,0
9,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_144.mp4,0
10,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_145.mp4,0
11,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_146.mp4,0
12,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_147.mp4,0
13,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_148.mp4,0
14,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_149.mp4,0
15,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_150.mp4,0
16,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_151.mp4,0
17,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_152.mp4,0
18,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_153.mp4,0
19,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_154.mp4,0
20,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_155.mp4,0
21,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_156.mp4,0
22,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_157.mp4,0
23,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_158.mp4,0
24,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_158.mp4,0
25,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_IA_0%3A03%3A33.400000-0%3A04%3A23.53333330fps_clip_159.mp4,0
26,/home/itec/sahar/Domain_Adaptation/DA_main/multiclass_cataract_4class/IAandAbsaugung/case_4906_Visco-Absaugung_0%3A05%3A08.050000-0%3A06%3A02.28333330fps_clip_102.mp4,0
